Date  Price
2018-01-08  54.54
2018-01-09  53.94
2018-01-10  53.88
2018-01-11  54.44
2018-01-12  54.73
2018-01-16  55.81
2018-01-17  55.68
2018-01-18  55.31
2018-01-19  55.46
2018-01-22  55.39
2018-01-23  57.16
2018-01-24  57.90
2018-01-25  58.79
2018-01-26  59.99
2018-01-29  59.04
2018-01-30  56.99
2018-01-31  56.56
2018-02-01  57.86
2018-02-02  56.01
2018-02-05  54.99
2018-02-06  55.50
2018-02-07  55.39
2018-02-08  53.15
2018-02-09  55.57
2018-02-12  56.45
2018-02-13  57.40
2018-02-14  58.18
2018-02-15  57.91
2018-02-16  57.64
2018-02-20  58.03
2018-04-19  58.61
2018-04-20  57.75
2018-04-23  58.31
2018-04-24  56.55
2018-04-25  57.80
2018-04-26  58.82
2018-04-27  58.15
2018-04-30  58.16
2018-05-01  58.73
2018-05-02  59.72
2018-05-03  58.98
2018-05-04  62.46
2018-05-07  62.49
2018-05-08  62.60
2018-05-09  62.40
2018-05-10  61.97
2018-05-11  62.39
2018-05-14  62.71
2018-05-15  62.39
2018-05-16  62.75
2018-05-17  62.11
2018-05-18  62.76
2018-05-21  62.96
2018-05-22  62.30
2018-05-23  62.87
2018-05-24  61.67
2018-05-25  62.16
2018-05-29  63.31
2018-05-30  66.98
2018-05-31  66.62
