Date  Price
2018-01-08  91.334483
2018-01-09  91.061754
2018-01-10  90.816895
2018-01-11  92.250217
2018-01-12  92.100913
2018-01-16  91.884222
2018-01-17  92.459243
2018-01-18  91.729244
2018-01-19  92.588640
2018-01-22  92.877296
2018-01-23  92.780248
2018-01-24  92.270124
2018-01-25  92.618501
2018-01-26  92.429382
2018-01-29  91.647127
2018-01-30  91.145364
2018-01-31  90.687498
2018-02-01  90.787034
2018-02-02  89.562738
2018-02-05  86.039154
2018-02-06  87.134849
2018-02-07  86.964841
2018-02-08  85.393462
2018-02-09  85.272724
2018-02-12  86.337763
2018-02-13  86.501997
2018-02-14  87.418428
2018-02-15  88.099555
2018-02-16  88.845977
2018-02-20  87.598091
2018-04-19  90.115000
2018-04-20  89.540000
2018-04-23  89.807000
2018-04-24  89.780000
2018-04-25  89.770000
2018-04-26  89.990000
2018-04-27  90.034200
2018-04-30  89.370000
2018-05-01  89.626300
2018-05-02  89.690000
2018-05-03  89.481000
2018-05-04  90.588400
2018-05-07  90.916600
2018-05-08  91.180000
2018-05-09  91.400000
2018-05-10  91.750000
2018-05-11  91.773000
2018-05-14  91.145000
2018-05-15  91.123800
2018-05-16  91.730000
2018-05-17  92.080000
2018-05-18  92.040000
2018-05-21  92.844800
2018-05-22  92.659800
2018-05-23  92.740000
2018-05-24  92.934000
2018-05-25  93.093800
2018-05-29  93.190000
2018-05-30  94.362100
2018-05-31  93.648000
