Date  Price
2018-01-08  272.828705
2018-01-09  273.446235
2018-01-10  273.027908
2018-01-11  275.019940
2018-01-12  276.812769
2018-01-16  275.866554
2018-01-17  278.496036
2018-01-18  278.027909
2018-01-19  279.292849
2018-01-22  281.563765
2018-01-23  282.161375
2018-01-24  282.051813
2018-01-25  282.171335
2018-01-26  285.438268
2018-01-29  283.545837
2018-01-30  280.637471
2018-01-31  280.776913
2018-02-01  280.458188
2018-02-02  274.352610
2018-02-05  262.878505
2018-02-06  268.057788
2018-02-07  266.603605
2018-02-08  256.603604
2018-02-09  260.458186
2018-02-12  264.282888
2018-02-13  264.940258
2018-02-14  268.515956
2018-02-15  271.942251
2018-02-16  272.021932
2018-02-20  270.318745
2018-04-19  268.890000
2018-04-20  266.610000
2018-04-23  266.570000
2018-04-24  262.980000
2018-04-25  263.630000
2018-04-26  266.310000
2018-04-27  266.560000
2018-04-30  264.510000
2018-05-01  264.980000
2018-05-02  263.200000
2018-05-03  262.620000
2018-05-04  266.020000
2018-05-07  266.920000
2018-05-08  266.920000
2018-05-09  269.500000
2018-05-10  272.020000
2018-05-11  272.850000
2018-05-14  272.980000
2018-05-15  271.100000
2018-05-16  272.240000
2018-05-17  272.010000
2018-05-18  271.330000
2018-05-21  273.370000
2018-05-22  272.610000
2018-05-23  273.360000
2018-05-24  272.800000
2018-05-25  272.150000
2018-05-29  269.020000
2018-05-30  272.610000
2018-05-31  270.940000
